Model;Scenario;Region;Variable;Unit;Saut_Classe_Dpe;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Individual_dwelling;MtCO2eq;sum;0.506304085769735;0.8555477464744141;1.4681258038768858;2.3705588474765276;2.738784988947675;3.4518945234537517;6.690155456623813;4.282630590299738;5.14762473242774;10.858260421264903;13.864907603619196;9.819830691480327;6.672762882123882;7.374543480537982;9.14926706744677;10.185653167653662;9.983963721696869;7.992161497033038;7.231606773501758;5.3516827147154125;2.9756937672085435;2.3880501851646376;1.8413098822496943;1.159464524088099;0.8252724385419803;0.5643719728054387;0.3151959884358783;0.19897807262895995;0.12068630165999143;0.05978027167116408;0.033470876461520735
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Residential_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3421959123824134;9.769124165589853;10.796551922879956;3.8767714357462593;0.0;0.0;1.0413750242546018;2.2371210273041635;3.8152079666590026;4.356504555033634;3.496176798823651;2.6957326649826157;1.697490694860102;1.2082234997671;0.8262574251942167;0.4614563415365713;0.29130984152749584;0.17668835036245484;0.08752010328027918;0.04900236286826355
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Residential_dwelling;MtCO2eq;2;0.0;0.0;0.0;0.0;0.0;0.0;0.12890740356823802;6.201341856813558;7.617865105873099;3.6066119055963917;0.2650500915451901;6.124379743289385;0.0;0.0;8.801663942075955;14.91210046875975;14.616821095695345;10.138700610039251;7.231606773501758;3.4813343367271194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Residential_dwelling;MtCO2eq;3;0.0;0.0;0.0;1.038845528787326;3.98332148654539;5.0644703659700125;2.4777536584658506;0.0690463528146597;0.0;10.455377577286287;20.076644509024604;5.16938201186761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Residential_dwelling;MtCO2eq;4;0.6238535779970035;1.244318825701777;2.1352596436500524;1.5753275026511666;0.0;0.0;6.598336694214527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Residential_dwelling;MtCO2eq;5;0.054832500000000006;0.0;0.0;0.6309472500000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Residential_dwelling;MtCO2eq;6;0.051755999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Residential_dwelling;MtCO2eq;sum;0.7304420779970034;1.244318825701777;2.1352596436500524;3.2451202814384925;3.98332148654539;5.0644703659700125;9.204997756248616;6.2703882096282175;7.617865105873099;14.061989482882678;20.341694600569795;13.635957667539408;9.769124165589853;10.796551922879956;12.678435377822215;14.91210046875975;14.616821095695345;11.180075634293853;9.468727800805922;7.296542303386122;4.356504555033634;3.496176798823651;2.6957326649826157;1.697490694860102;1.2082234997671;0.8262574251942167;0.4614563415365713;0.29130984152749584;0.17668835036245484;0.08752010328027918;0.04900236286826355
CSTB;HRS_rising_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1086531884268918;2.3676502781891884;2.5164584993648638;2.5658107961812147;0.0;0.0;0.0;0.9745750265214855;2.917188309567567;2.9379457617432427;2.9530017215810807;2.963885037418918;2.971732737702702
CSTB;HRS_rising_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6415501263362838;1.2069107130405403;1.522401312486486;1.8732722066554048;1.2722138421569589;0.43725719318087863;2.965232860885134;0.11774367769074294;0.0;0.0;0.10397887264033899;4.090928760648647;4.196076309202701;4.274804204290539;2.8711941957853373;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;3;0.0;0.0;0.0;0.0;0.0;0.0956964702679055;0.45606421967229765;0.624766850513514;0.7826161195540543;1.055322046560811;0.8478153915000001;0.49101438291925775;0.0;0.0;0.0;1.619338740053721;3.6285079558922395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;4;0.08942600345;0.14731855694499998;0.204844651655;0.28442615498499996;0.39414411644999997;0.27795882351952705;0.0;0.0;0.0;0.0;0.7821485756756746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;5;0.01577115;0.0;0.0;0.0;0.0;0.06659798108108106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;6;0.0071064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_rising_BAU_RE2020_WLC;France;Collective_dwelling;MtCO2eq;sum;0.11230355345;0.14731855694499998;0.204844651655;0.28442615498499996;0.39414411644999997;0.4402532748685136;0.45606421967229765;0.624766850513514;0.7826161195540543;1.055322046560811;1.6299639671756747;1.1325645092555416;1.2069107130405403;1.522401312486486;1.8732722066554048;2.8915525822106796;4.065765149073118;2.965232860885134;2.2263968661176348;2.3676502781891884;2.5164584993648638;2.6697896688215534;4.090928760648647;4.196076309202701;4.274804204290539;3.845769222306823;2.917188309567567;2.9379457617432427;2.9530017215810807;2.963885037418918;2.971732737702702
CSTB;HRS_rising_BAU_RE2020_WLC;France;Individual_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7744475616347655;4.7133797225;5.102366115390625;5.42305284578125;1.89696056484961;0.0;0.0;0.0;0.0;0.0;1.7270296670175773;6.363818197070312;6.387272108171875;6.404184167421875
