ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;agglo;27;P6;3;101;12;77;10;10;12;4752;5377
Résidentiel collectif;agglo;28;P0;94;439;102;241;25;25;83;22073;30583
Résidentiel collectif;agglo;28;P1;8;28;5;16;0;0;7;1190;1768
Résidentiel collectif;agglo;28;P2;280;6742;664;5543;5301;5269;510;398773;512590
Résidentiel collectif;agglo;28;P3;229;5070;598;3830;3243;3229;621;320940;387814
Résidentiel collectif;agglo;28;P4;23;419;46;322;214;214;48;28530;34977
Résidentiel collectif;agglo;28;P5;16;271;14;252;224;224;5;20458;25087
Résidentiel collectif;agglo;28;P6;6;124;4;107;124;124;3;7529;8813
Résidentiel collectif;agglo;29;P0;319;1408;329;706;16;15;353;66828;89366
Résidentiel collectif;agglo;29;P1;207;854;189;349;20;20;291;39576;53579
Résidentiel collectif;agglo;29;P2;831;7814;1165;4374;2486;2486;2063;477504;605264
Résidentiel collectif;agglo;29;P3;774;10490;1523;5280;3796;3715;3278;582054;746623
Résidentiel collectif;agglo;29;P4;358;4032;373;2891;1996;1996;625;210384;255678
Résidentiel collectif;agglo;29;P5;80;1048;78;758;350;350;204;62336;81630
Résidentiel collectif;agglo;29;P6;25;357;42;266;294;294;13;23428;27406
Résidentiel collectif;agglo;2A;P0;99;351;56;72;0;0;197;18704;24444
Résidentiel collectif;agglo;2A;P1;53;267;41;73;0;0;138;16710;20923
Résidentiel collectif;agglo;2A;P2;374;6764;763;3082;885;885;2507;454753;567609
Résidentiel collectif;agglo;2A;P3;822;7155;733;1934;597;582;4037;442477;567458
Résidentiel collectif;agglo;2A;P4;152;857;92;311;143;143;388;57139;74659
Résidentiel collectif;agglo;2A;P5;42;251;26;105;0;0;110;15402;23325
Résidentiel collectif;agglo;2A;P6;19;115;20;25;0;0;68;9048;13043
Résidentiel collectif;agglo;2B;P0;123;518;101;169;70;70;208;29064;36779
Résidentiel collectif;agglo;2B;P1;52;209;43;53;1;0;89;11611;14222
Résidentiel collectif;agglo;2B;P2;463;4283;664;1777;726;722;1686;279546;339170
